Country,Export Value,Import Value (D),Trade Balance,Import Value,FlagBase64
Bahamas,4731 ,-16580 ,-11849 ,16580 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMzMzhhZjMiIGQ9Ik0wIDBoNTEydjE2N2wtMzcuNCA4OSAzNy40IDg5djE2N0gwbDQ5LjYtMjUyeiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0xMDguMyAxNjdINTEydjE3OEgxMDguM3oiLz48cGF0aCBmaWxsPSIjMzMzIiBkPSJNMCAwdjUxMmwyNTYtMjU2TDAgMHoiLz48L2c+PC9zdmc+"
Suriname,4548 ,-3051 ,1497 ,3051 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0wIDBoNTEydjExMS4zbC04NS4zIDE0My4xTDUxMiA0MDAuN1Y1MTJIMFY0MDAuN2w4Ny0xNDlMMCAxMTEuM3oiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJNMCAxMTEuM2g1MTJWMTY3bC00MSA4NC43IDQxIDkzLjN2NTUuN0gwVjM0NWw0NC4yLTg2LjZMMCAxNjd6Ii8+PHBhdGggZmlsbD0iI2EyMDAxZCIgZD0iTTAgMTY3aDUxMnYxNzhIMHoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJtMjU2IDE2NyAyMi4xIDY4aDcxLjVsLTU3LjggNDIgMjIgNjgtNTcuOC00Mi01Ny45IDQyIDIyLjEtNjgtNTcuOC00Mmg3MS41eiIvPjwvZz48L3N2Zz4="
Eswatini,4506 ,-4373 ,133 ,4373 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0wIDE0NC43IDI1Ni0yMC41IDI1NiAyMC41VjE3OGwtMzcuNCA3OSAzNy40IDc3djMzLjNsLTI1NiAyNC4xTDAgMzY3LjNWMzM0bDM3LjctNzcuM0wwIDE3OHoiLz48cGF0aCBmaWxsPSIjMzMzIiBkPSJNMCAwaDUxMnYxNDQuN0gweiIvPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0wIDM2Ny4zaDUxMlY1MTJIMHoiLz48cGF0aCBmaWxsPSIjYTIwMDFkIiBkPSJNMCAxNzhoNTEydjE1NkgweiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik04OS4yIDI0NC45aDMzNFYyNjdoLTMzNHptNDQuNi00NC42aDI0NC44djIyLjNIMTMzLjh6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0ibTI1Ni4yIDE4OS4yLTE4IDY1LjIgMTggNjguNGM2Ni44IDAgMTI0LTY2LjggMTI0LTY2LjhzLTU3LjItNjYuOC0xMjQtNjYuOHoiLz48cGF0aCBmaWxsPSIjMzMzIiBkPSJNMjU2LjIgMzIyLjhjLTY2LjggMC0xMjQtNjYuOC0xMjQtNjYuOHM1Ny4yLTY2LjggMTI0LTY2LjgiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJNMjExLjcgMjMzLjdoMjIuMnY0NC42aC0yMi4yeiIvPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik0yNzguNSAyMzMuN2gyMi4ydjQ0LjZoLTIyLjJ6Ii8+PGcgZmlsbD0iIzAwNTJiNCIgdHJhbnNmb3JtPSJ0cmFuc2xhdGUoLjIpIj48Y2lyY2xlIGN4PSI4OSIgY3k9IjI1NiIgcj0iMjIuMyIvPjxjaXJjbGUgY3g9IjQyMyIgY3k9IjI1NiIgcj0iMjIuMyIvPjwvZz48L2c+PC9zdmc+"
Liberia,4047 ,-33554 ,-29507 ,33554 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDIzMi43IDI1NiAwaDI1NmwtMTkuMiAyNEw1MTIgNDYuNHY0Ni43bC0xOS42IDIyLjYgMTkuNiAyMy45djQ2LjVMNDkzLjggMjA5bDE4LjIgMjMuN3Y0Ni42TDQ5MyAzMDRsMTkgMjEuOHY0Ni42bC0xOCAyMy41IDE4IDIzdjQ2LjZsLTI1My4zIDIxTDAgNDY1LjV2LTQ2LjZsMTguOC0yMS42TDAgMzcyLjR2LTQ2LjZsMTkuNi0yMS45TDAgMjc5LjN6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0ibTI1NiAwLTIyIDQ2LjVoMjc4VjB6bS0xNy4xIDkzLjJ2NDYuNUg1MTJWOTMuMnptLTQuOSA5MyAyMiA0Ni41aDI1NnYtNDYuNXpNMCAyNzkuM3Y0Ni41aDUxMnYtNDYuNXptMCA5My4xdjQ2LjVoNTEydi00Ni41em0wIDkzLjFWNTEyaDUxMnYtNDYuNXoiLz48cGF0aCBmaWxsPSIjMDA1MmI0IiBkPSJNMCAwaDI1NnYyMzIuN0gweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0xNTIuNCA2Ni44IDE2LjYgNTFoNTMuNmwtNDMuNCAzMS41IDE2LjYgNTEtNDMuNC0zMS41LTQzLjQgMzEuNSAxNi42LTUxLTQzLjQtMzEuNWg1My42eiIvPjwvZz48L3N2Zz4="
Macau,3850 ,-23407 ,-19557 ,23407 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0zMDAuNSAyNDUuM2MtNi4zIDAtMTIuMiAxLjMtMTcuOCAzLjMgMy02LjggNS4xLTE0LjMgNS4xLTIyLjQgMC0zMS44LTMxLjgtNTUuNi0zMS44LTU1LjZzLTMxLjggMjMuOC0zMS44IDU1LjZjMCA4IDIgMTUuNiA1IDIyLjQtNS41LTItMTEuNC0zLjMtMTcuNy0zLjMtMzEuOCAwLTU1LjcgMzEuOC01NS43IDMxLjhzMjMuOSAzMS44IDU1LjcgMzEuOEMyMzAgMzA5IDI0NiAyOTggMjU2IDI4OWMxMCA5LjEgMjUuOSAyMCA0NC41IDIwIDMxLjggMCA1NS43LTMxLjggNTUuNy0zMS44cy0yMy45LTMxLjgtNTUuNy0zMS44eiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0yNTYgMTAwLjIgNi42IDIwLjJoMjEuMmwtMTcuMiAxMi41IDYuNiAyMC4yLTE3LjItMTIuNS0xNy4yIDEyLjUgNi42LTIwLjItMTcuMi0xMi41aDIxLjJ6bS04MC44IDM1LjMgMTIuNiAxMS40IDE0LjctOC41LTYuOSAxNS41IDEyLjcgMTEuNC0xNy0xLjgtNi45IDE1LjYtMy41LTE2LjctMTctMS43IDE0LjgtOC41ek0xMTYgMTk0LjdsMTYuNiAzLjUgOC41LTE0LjcgMS44IDE3IDE2LjYgMy41LTE1LjUgNi45IDEuOCAxNi45LTExLjQtMTIuNi0xNS41IDYuOSA4LjUtMTQuOHptMjIwLjgtNTkuMkwzMjQuMiAxNDdsLTE0LjctOC41IDYuOSAxNS41LTEyLjcgMTEuNCAxNy0xLjggNi45IDE1LjYgMy41LTE2LjcgMTctMS43LTE0LjgtOC41em01OS4yIDU5LjItMTYuNiAzLjUtOC41LTE0LjctMS44IDE3LTE2LjYgMy41IDE1LjUgNi45LTEuOCAxNi45IDExLjQtMTIuNiAxNS41IDYuOS04LjUtMTQuOHoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJNMjU2IDM5OGMyNS4zIDAgNDguNS04LjUgNjcuMi0yMi42SDE4OC44YzE4LjcgMTQuMSA0MiAyMi42IDY3LjIgMjIuNnptLTEwMi02Ni44YTExMS4zIDExMS4zIDAgMCAwIDEzLjIgMjIuNmgxNzcuNmExMTEuMyAxMTEuMyAwIDAgMCAxMy4yLTIyLjZ6Ii8+PC9nPjwvc3ZnPg=="
Montenegro,3661 ,-9956 ,-6295 ,9956 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0wIDBoNTEydjQ0LjVsLTQzLjYgMjA5LjdMNTEyIDQ2Ny41VjUxMkgwdi00NC41bDQ2LjYtMjEyTDAgNDQuNXoiLz48cGF0aCBmaWxsPSIjYTIwMDFkIiBkPSJNMCA0NC41aDUxMnY0MjNIMHoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJNMjAwLjMgMTg5LjJoMTExLjR2LTQ0LjVsLTIyLjMgMTEuMS0zMy40LTMzLjQtMzMuNCAzMy40LTIyLjMtMTEuMXpNMzU2LjIgMjU2aC01NS43YTI1LjUgMjUuNSAwIDAgMCAzLjUtMTIuOCAyNS43IDI1LjcgMCAwIDAtNDguMy0xMi4xIDI1LjcgMjUuNyAwIDEgMC00NSAyNC45aC01NC45YzAgMTcgMTQuOSAzMC44IDMxLjkgMzAuOGgtMWMwIDE0IDkuMiAyNS44IDIyIDI5LjZsLTI1IDI1IDIzLjYgMjMuNiAzMy41LTMzLjVjMS4zLjUgMi42LjkgNCAxLjFsLTIwLjIgNDUuN2E4My4yIDgzLjIgMCAwIDAgMzEuNCA2LjIgODMuMiA4My4yIDAgMCAwIDMxLjQtNi4ybC0yMC4yLTQ1LjdhMjUuNCAyNS40IDAgMCAwIDQtMS4xbDMzLjUgMzMuNSAyMy42LTIzLjYtMjUtMjVhMzAuOCAzMC44IDAgMCAwIDIyLTI5LjZoLTFjMTcgMCAzMS45LTEzLjggMzEuOS0zMC44eiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Im0yNTYgMjcyLjctMzYuMiAxNi43djMzLjRMMjU2IDM0NWwzNi4yLTIyLjJ2LTMzLjR6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTIxOS44IDI1Nmg3Mi40djQ0LjVoLTcyLjR6Ii8+PC9nPjwvc3ZnPg=="
Benin,3591 ,-12030 ,-8439 ,12030 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0wIDBoMTg5LjJsNTQgMjU3LjYtNTQgMjU0LjRIMHoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJNMTg5LjIgMEg1MTJ2MjU2bC0xNTkgNTMuNUwxODkuMSAyNTZ6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTE4OS4yIDI1Nkg1MTJ2MjU2SDE4OS4yeiIvPjwvZz48L3N2Zz4="
Tajikistan,3299 ,-10610 ,-7311 ,10610 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0wIDE0NC43IDI1NS4zLTM2LjVMNTEyIDE0NC43djIyMi42TDI1MC41IDQwNyAwIDM2Ny4zeiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjE0NC43SDB6Ii8+PHBhdGggZmlsbD0iIzZkYTU0NCIgZD0iTTAgMzY3LjNoNTEyVjUxMkgweiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0yMTEuNSAzMjNoODl2LTM4bC0xNy44IDktMjYuNy0yNi45LTI2LjcgMjYuNy0xNy44LTguOXptLTUxLTQ0LjYgNC4yIDEyLjdIMTc4bC0xMC45IDggNC4yIDEyLjctMTAuOS04LTEwLjggOCA0LjEtMTIuOC0xMC43LTcuOWgxMy40em0xMi45LTQ0LjYgNC4xIDEyLjhIMTkxbC0xMC44IDggNC4xIDEyLjYtMTAuOC03LjktMTAuOSA4IDQuMi0xMi44LTEwLjktOGgxMy40em0zNi43LTMzLjQgNC4yIDEyLjhoMTMuNGwtMTAuOSA4IDQuMiAxMi42LTExLTcuNy0xMC44IDcuOCA0LjEtMTIuNy0xMC44LTcuOUgyMDZ6bTE0MS40IDc4LTQuMiAxMi43SDMzNGwxMC45IDgtNC4yIDEyLjcgMTAuOS04IDEwLjggOC00LjEtMTIuOCAxMC43LTcuOWgtMTMuNHptLTEyLjktNDQuNi00LjEgMTIuOEgzMjFsMTAuOCA4LTQuMSAxMi42IDEwLjgtNy45IDEwLjkgOC00LjItMTIuOCAxMC45LThoLTEzLjR6TTMwMiAyMDAuNGwtNC4yIDEyLjhoLTEzLjRsMTAuOSA4LTQuMiAxMi42IDEwLjktNy43IDEwLjggNy44LTQuMS0xMi43IDEwLjgtNy45SDMwNnptLTQ2LTE2LjYgNC4xIDEyLjdoMTMuNWwtMTAuOSA4IDQuMSAxMi42LTEwLjgtNy44LTEwLjggNy44IDQuMS0xMi43LTEwLjktNy45SDI1MnoiLz48L2c+PC9zdmc+"
Afghanistan,3293 ,-13337 ,-10045 ,13337 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0xNDQuNyAwaDIyMi42bDM3IDI1Ny43LTM3IDI1NC4zSDE0NC43bC00Mi40LTI1NS4yeiIvPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Ik0zNjcuMyAwSDUxMnY1MTJIMzY3LjN6Ii8+PHBhdGggZmlsbD0iIzMzMyIgZD0iTTAgMGgxNDQuN3Y1MTJIMHoiLz48ZyBmaWxsPSIjZmZkYTQ0Ij48cGF0aCBkPSJNMjU2IDE2N2E4OSA4OSAwIDEgMCAwIDE3OCA4OSA4OSAwIDAgMCAwLTE3OHptMCAxNDQuN2E1NS43IDU1LjcgMCAxIDEgMC0xMTEuNCA1NS43IDU1LjcgMCAwIDEgMCAxMTEuNHoiLz48cGF0aCBkPSJNMjU2IDIyMi42Yy0xMi4zIDAtMjIuMyAxMC0yMi4zIDIyLjN2MzMuNGg0NC42di0zMy40YzAtMTIuMy0xMC0yMi4zLTIyLjMtMjIuM3oiLz48L2c+PC9nPjwvc3ZnPg=="
Jamaica,3187 ,-15852 ,-12664 ,15852 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik0yMy4zIDQ4OC42IDAgNDY1VjQ3LjFsMjMuNC0yMy43IDQ2NCA0NjQgMjQuNi0yMi42VjQ3LjFsLTI0LjUtMjIuN3oiLz48cGF0aCBmaWxsPSIjNmRhNTQ0IiBkPSJNMjMuMyAyMy4zIDQ3LjEgMGg0MTcuN2wyMy44IDIzLjQtNDY0IDQ2NEw0NyA1MTJoNDE4bDIyLjYtMjQuNXoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJNMCAwdjQ3LjFMMjA4LjggMjU2IDAgNDY0LjlWNTEyaDQ3LjFMMjU2IDMwMy4yIDQ2NC45IDUxMkg1MTJ2LTQ3TDMwMy4xIDI1NiA1MTIgNDcuMlYwaC00Ny4yTDI1NiAyMDguOSA0NyAweiIvPjwvZz48L3N2Zz4="
Greenland,3105 ,-2151 ,954 ,2151 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Im0wIDI1NiAyNTktNDUuM0w1MTIgMjU2djI1NkgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDBoNTEydjI1NkgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik01NS43IDI1NmExMjIuNCAxMjIuNCAwIDEgMCAyNDQuOCAwbC0xMjMtMjR6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTU1LjcgMjU2YTEyMi40IDEyMi40IDAgMSAxIDI0NC44IDB6Ii8+PC9nPjwvc3ZnPg=="
Yemen,3034 ,-23460 ,-20426 ,23460 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0wIDE2NyAyNTMuOC0xOS4zTDUxMiAxNjd2MTc4bC0yNTQuOSAzMi4zTDAgMzQ1eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjE2N0gweiIvPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik0wIDM0NWg1MTJ2MTY3SDB6Ii8+PC9nPjwvc3ZnPg=="
Sierra Leone,2835 ,-3503 ,-668 ,3503 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0wIDE2NyAyNTMuOC0xOS4zTDUxMiAxNjd2MTc4bC0yNTQuOSAzMi4zTDAgMzQ1eiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0wIDBoNTEydjE2N0gweiIvPjxwYXRoIGZpbGw9IiMzMzhhZjMiIGQ9Ik0wIDM0NWg1MTJ2MTY3SDB6Ii8+PC9nPjwvc3ZnPg=="
Nepal,2656 ,-24352 ,-21695 ,24352 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0yMjguNCAwSDUxMnY1MTJoLTI3LjRMMTU5LjQgMjU4LjV6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTUxMC41IDI4My44IDIyOC41IDBoLTM5LjNsLTcwLjkgMjUzLjhMNDQ1LjIgNTEyaDM5LjRMMjU2LjQgMjgzLjhoMjU0eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik00NDUuMiAyNTYgMTg5LjIgMEgwdjUxMmg0NDUuMmwtMjU2LTI1NnoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJtMjQzLjUgMzc4LTMxLjMtMTQuN0wyMjkgMzMzbC0zNCA2LjUtNC4zLTM0LjMtMjMuNiAyNS4yLTIzLjctMjUuMi00LjMgMzQuMy0zNC02LjUgMTYuNyAzMC4zTDkwLjQgMzc4bDMxLjMgMTQuNy0xNi42IDMwLjMgMzQtNi41IDQuMiAzNC4zIDIzLjctMjUuMiAyMy42IDI1LjIgNC4zLTM0LjMgMzQgNi41LTE2LjctMzAuM3pNMTQ5LjggODlsLTMuMiAyNS0yNC43LTQuNyAxMi4xIDIyLTIyLjcgMTAuN2gtMTEuMWE2Ni44IDY2LjggMCAwIDAgMTMzLjUgMGgtMTEuMUwyMDAgMTMxLjNsMTItMjItMjQuNiA0LjctMy4xLTI1LTE3LjIgMTguNHoiLz48L2c+PC9zdmc+"
Rwanda,2388 ,-4235 ,-1847 ,4235 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Im0wIDM3OC41IDI1NC4xLTIyLjFMNTEyIDM3OC41VjUxMkgweiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0wIDI1Ni4xIDI1NS0zMC4zIDI1NyAzMC4zdjEyMi40SDB6Ii8+PHBhdGggZmlsbD0iIzMzOGFmMyIgZD0iTTAgMGg1MTJ2MjU2SDB6Ii8+PHBhdGggZmlsbD0iI2ZmZGE0NCIgZD0ibTI4OS40IDE1MCAzMS4zIDE0LjZMMzA0IDE5NWwzNC02LjUgNC4zIDM0LjMgMjMuNi0yNS4yIDIzLjcgMjUuMiA0LjMtMzQuMyAzNCA2LjUtMTYuNy0zMC4zIDMxLjItMTQuNy0zMS4yLTE0LjcgMTYuNi0zMC4zLTM0IDYuNS00LjItMzQuMy0yMy43IDI1LjMtMjMuNi0yNS4zLTQuMyAzNC4zLTM0LTYuNSAxNi43IDMwLjN6Ii8+PC9nPjwvc3ZnPg=="
Cuba,2382 ,-9654 ,-7272 ,9654 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0wIDBoNTEydjEwMi40TDQ4My44IDE1MWwyOC4yIDUzLjh2MTAyLjRsLTMwLjUgNTAuNyAzMC41IDUxLjdWNTEySDBsMzkuOC0yNTd6Ii8+PHBhdGggZmlsbD0iI2ZmOTgxMSIgZD0iTTAgNDQuNXY0MjNWMjU2eiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0yNy4yIDEwMi40djEwMi40SDUxMlYxMDIuNEgyNy4yem0wIDIwNC44djEwMi40SDUxMlYzMDcuMkgyNy4yeiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDB2NTEybDI1Ni0yNTZMMCAweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0xMDMuNiAxODkuMiAxNi42IDUxaDUzLjZsLTQzLjQgMzEuNiAxNi42IDUxLTQzLjQtMzEuNS00My40IDMxLjUgMTYuNi01MS00My40LTMxLjZIODd6Ii8+PC9nPjwvc3ZnPg=="
